Rok,Wartosc
1998,1930
1999,2132.5
2000,2281.25
2001,2510
2002,2403.5
2003,2238
2004,2388.75
2005,2439.25
2006,2545.25
2007,2816
2008,3316.25
2009,3891.5
2010,4360.25
2011,3858.25
2012,3996.25
2013,4025.25
2014,4033.5
2015,3969.5
2016,4054
2017,4170
2018,4237.5
2019,4461.25
2020,4891.5
2021,5134.25
2022,5318.75
2023,6130.75
